accession	Sequence_length	Sequence_name	taxid	kingdom	phylum	class	order	family	genus	species	subspecies	strain
AB100604.1	4309	Akabane virus M gene for M polyprotein, complete cds	70566	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Akabane orthobunyavirus	Akabane virus	Akabane virus
AB102674.1	4143	Rosellinia anti-rot virus gene for putative RNA-dependent polymerase, complete cds	311229	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Mycoreovirus	Mycoreovirus 3	unclassified Mycoreovirus 3 subspecies/strain	unclassified Mycoreovirus 3 strain
AB102675.1	3310	Rosellinia anti-rot virus gene for hypothecial protein, complete cds	311229	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Mycoreovirus	Mycoreovirus 3	unclassified Mycoreovirus 3 subspecies/strain	unclassified Mycoreovirus 3 strain
AB111964.2	8978	Bovine viral diarrhea virus 839cp gene for poryprotein, partai cds, strain: 839cp	233886	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Pestivirus	Pestivirus A	Bovine viral diarrhea virus 839cp	Bovine viral diarrhea virus 839cp
AB111966.1	9060	Bovine viral diarrhea virus 190cp gene for poryprotein, partai cds, strain: 190cp	233888	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Pestivirus	Pestivirus A	Bovine viral diarrhea virus 190cp	Bovine viral diarrhea virus 190cp
AB114858.1	10857	Yokose virus genomic RNA, complete genome, strain:Oita 36	64294	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Yokose virus	unclassified Yokose virus subspecies/strain	unclassified Yokose virus strain
AB176642.1	3215	Hepatitis B virus subtype ADR DNA, complete genome, isolate:HBV-115	106820	Viruses	Artverviricota	Revtraviricetes	Blubervirales	Hepadnaviridae	Orthohepadnavirus	Hepatitis B virus	Hepatitis B virus subtype adr	Hepatitis B virus subtype adr
AB179636.1	2269	Cryphonectria parasitica mycoreovirus-1 (9B21) S4 gene for VP4, complete cds	230407	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Mycoreovirus	Mycoreovirus 1	Cryphonectria parasitica mycoreovirus-1 (9B21)	Cryphonectria parasitica mycoreovirus-1 (9B21)
AB179637.1	2056	Cryphonectria parasitica mycoreovirus-1 (9B21) S5 gene for VP5, complete cds	230407	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Mycoreovirus	Mycoreovirus 1	Cryphonectria parasitica mycoreovirus-1 (9B21)	Cryphonectria parasitica mycoreovirus-1 (9B21)
AB179638.1	2023	Cryphonectria parasitica mycoreovirus-1 (9B21) S6 gene for VP6, complete cds	230407	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Mycoreovirus	Mycoreovirus 1	Cryphonectria parasitica mycoreovirus-1 (9B21)	Cryphonectria parasitica mycoreovirus-1 (9B21)
AB179639.1	1539	Cryphonectria parasitica mycoreovirus-1 (9B21) S7 gene for P7, complete cds	230407	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Mycoreovirus	Mycoreovirus 1	Cryphonectria parasitica mycoreovirus-1 (9B21)	Cryphonectria parasitica mycoreovirus-1 (9B21)
AB179640.1	1536	Cryphonectria parasitica mycoreovirus-1 (9B21) S8 gene for P8, complete cds	230407	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Mycoreovirus	Mycoreovirus 1	Cryphonectria parasitica mycoreovirus-1 (9B21)	Cryphonectria parasitica mycoreovirus-1 (9B21)
AB179641.1	1072	Cryphonectria parasitica mycoreovirus-1 (9B21) S9 gene for P9, complete cds	230407	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Mycoreovirus	Mycoreovirus 1	Cryphonectria parasitica mycoreovirus-1 (9B21)	Cryphonectria parasitica mycoreovirus-1 (9B21)
AB179642.1	975	Cryphonectria parasitica mycoreovirus-1 (9B21) S10 gene for P10, complete cds	230407	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Mycoreovirus	Mycoreovirus 1	Cryphonectria parasitica mycoreovirus-1 (9B21)	Cryphonectria parasitica mycoreovirus-1 (9B21)
AB179643.1	732	Cryphonectria parasitica mycoreovirus-1 (9B21) S11 gene for P11, complete cds	230407	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Mycoreovirus	Mycoreovirus 1	Cryphonectria parasitica mycoreovirus-1 (9B21)	Cryphonectria parasitica mycoreovirus-1 (9B21)
AB186420.1	1884	Hantavirus Thailand 741 genomic RNA, segment S, complete sequence	289236	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Hantaviridae	Orthohantavirus	Hantavirus Thailand 741	unclassified Hantavirus Thailand 741 subspecies/strain	unclassified Hantavirus Thailand 741 strain
AB186897.1	2525	Human picobirnavirus RNA segment 1 genomic RNA, complete sequence	145856	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Picobirnaviridae	Orthopicobirnavirus	Orthopicobirnavirus hominis	Human picobirnavirus	Human picobirnavirus
AB187514.1	7746	Norovirus Hu/GI/Otofuke/1979/JP genomic RNA, complete genome	290280	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus Hu/GI/Otofuke/1979/JP	Norovirus Hu/GI/Otofuke/1979/JP
AB190458.1	6868	Akabane virus genomic RNA, viral-complementary sequence of L RNA segment, complete sequence	70566	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Akabane orthobunyavirus	Akabane virus	Akabane virus
AB205396.1	7460	Human coxsackievirus A18 genomic RNA, complete genome, strain: CAM1972	42776	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus C	Coxsackievirus A18	Coxsackievirus A18
AB220921.1	7559	Norovirus Hu/Chiba/04-1050/2005/JP genomic RNA, complete genome	336619	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus Hu/Chiba/04-1050/2005/JP	Norovirus Hu/Chiba/04-1050/2005/JP
AB220944.1	9652	Human immunodeficiency virus 1 proviral DNA, complete genome, isolate:93TH051	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain
AB221130.1	7144	Porcine enteric sapovirus genes for polyprotein, small basic protein, complete cds, strain: K7/JP	106333	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus	Porcine enteric sapovirus	Porcine enteric sapovirus
AB252582.1	7347	Human parechovirus 6 genomic RNA, complete genome, strain: NII561-2000	411152	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Parechovirus	Parechovirus A	Human parechovirus 6	Human parechovirus 6
AB253421.1	9643	Human immunodeficiency virus 1 proviral DNA, complete genome, clone: p92RW008A04	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain
AB253429.1	9690	Human immunodeficiency virus 1 proviral DNA, complete genome, clone: p92UG037A40	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain
AB254453.1	1648	Rice gall dwarf virus genomic RNA, segment S6, complete sequence	10986	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Phytoreovirus	Rice gall dwarf virus	unclassified Rice gall dwarf virus subspecies/strain	unclassified Rice gall dwarf virus strain
AB254454.1	1652	Rice gall dwarf virus genomic RNA, segment S7, complete sequence	10986	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Phytoreovirus	Rice gall dwarf virus	unclassified Rice gall dwarf virus subspecies/strain	unclassified Rice gall dwarf virus strain
AB254455.1	853	Rice gall dwarf virus genomic RNA, segment S12, complete sequence	10986	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Phytoreovirus	Rice gall dwarf virus	unclassified Rice gall dwarf virus subspecies/strain	unclassified Rice gall dwarf virus strain
AB262759.2	10837	Culex flavivirus genomic RNA, complete genome, strain: Tokyo	390844	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Culex flavivirus	unclassified Culex flavivirus subspecies/strain	unclassified Culex flavivirus strain
AB284985.1	2295	Influenza A virus (A/duck/Siberia/272/1998(H13N6)) PB2 gene for polymerase basic protein 2, complete cds	413942	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/duck/Siberia/272/1998(H13N6))	Influenza A virus (A/duck/Siberia/272/1998(H13N6))
AB284989.1	1530	Influenza A virus (A/duck/Siberia/272/1998(H13N6)) NP gene for nucleoprotein, complete cds	413942	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/duck/Siberia/272/1998(H13N6))	Influenza A virus (A/duck/Siberia/272/1998(H13N6))
AB286851.1	9793	Human immunodeficiency virus 1 proviral DNA, complete genome, clone: p03GH173_06_37	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain
AB286854.1	9682	Human immunodeficiency virus 1 proviral DNA, complete genome, clone: p0303GH195AG/06_48	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain
AB287004.1	9725	Human immunodeficiency virus 1 proviral DNA, complete genome, clone: p03GH175G29	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain
AB290917.1	3245	Torque teno midi virus 1 DNA, complete genome, isolate: MD1-032	687379	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Gammatorquevirus	Torque teno midi virus 1	unclassified Torque teno midi virus 1 subspecies/strain	unclassified Torque teno midi virus 1 strain
AB290919.1	3253	Torque teno midi virus 2 DNA, complete genome, isolate: MD2-013	687380	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Gammatorquevirus	Torque teno midi virus 2	unclassified Torque teno midi virus 2 subspecies/strain	unclassified Torque teno midi virus 2 strain
AB295643.1	6064	Radish mosaic virus genomic RNA, segment RNA1, complete sequence	328061	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Comovirus	Radish mosaic virus	unclassified Radish mosaic virus subspecies/strain	unclassified Radish mosaic virus strain
AB295644.1	4020	Radish mosaic virus genomic RNA, segment RNA2, complete sequence	328061	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Comovirus	Radish mosaic virus	unclassified Radish mosaic virus subspecies/strain	unclassified Radish mosaic virus strain
AB303552.1	3208	Torque teno midi virus 5 DNA, complete genome, isolate: MDJHem2	2065046	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Gammatorquevirus	Torque teno midi virus 5	unclassified Torque teno midi virus 5 subspecies/strain	unclassified Torque teno midi virus 5 strain
AB303553.1	3198	Torque teno midi virus 6 DNA, complete genome, isolate: MDJHem3-1	2065047	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Gammatorquevirus	Torque teno midi virus 6	unclassified Torque teno midi virus 6 subspecies/strain	unclassified Torque teno midi virus 6 strain
AB303554.1	3197	Torque teno midi virus 7 DNA, complete genome, isolate: MDJHem3-2	2065048	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Gammatorquevirus	Torque teno midi virus 7	unclassified Torque teno midi virus 7 subspecies/strain	unclassified Torque teno midi virus 7 strain
AB303558.1	3223	Torque teno midi virus 8 DNA, complete genome, isolate: MDJN1	2065049	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Gammatorquevirus	Torque teno midi virus 8	unclassified Torque teno midi virus 8 subspecies/strain	unclassified Torque teno midi virus 8 strain
AB303559.1	3187	Torque teno midi virus 9 DNA, complete genome, isolate: MDJN2	2065050	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Gammatorquevirus	Torque teno midi virus 9	unclassified Torque teno midi virus 9 subspecies/strain	unclassified Torque teno midi virus 9 strain
AB303560.1	3175	Torque teno midi virus 10 DNA, complete genome, isolate: MDJN14	2065051	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Gammatorquevirus	Torque teno midi virus 10	unclassified Torque teno midi virus 10 subspecies/strain	unclassified Torque teno midi virus 10 strain
AB303561.1	3198	Torque teno midi virus 11 DNA, complete genome, isolate: MDJN47	2065052	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Gammatorquevirus	Torque teno midi virus 11	unclassified Torque teno midi virus 11 subspecies/strain	unclassified Torque teno midi virus 11 strain
AB303562.1	3187	Torque teno midi virus 12 DNA, complete genome, isolate: MDJN51	2065053	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Gammatorquevirus	Torque teno midi virus 12	unclassified Torque teno midi virus 12 subspecies/strain	unclassified Torque teno midi virus 12 strain
AB303564.1	3230	Torque teno midi virus 13 DNA, complete genome, isolate: MDJN69	2065054	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Gammatorquevirus	Torque teno midi virus 13	unclassified Torque teno midi virus 13 subspecies/strain	unclassified Torque teno midi virus 13 strain
AB303566.1	3223	Torque teno midi virus 14 DNA, complete genome, isolate: MDJN97	2065055	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Gammatorquevirus	Torque teno midi virus 14	unclassified Torque teno midi virus 14 subspecies/strain	unclassified Torque teno midi virus 14 strain
AB304145.1	2341	Influenza A virus (A/duck/Shiga/8/2004(H4N6)) PB1 gene for polymerase basic protein 1, complete cds	444501	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/duck/Shiga/8/2004(H4N6))	Influenza A virus (A/duck/Shiga/8/2004(H4N6))
AB304147.1	1738	Influenza A virus (A/duck/Shiga/8/2004(H4N6)) HA gene for hemagglutinin, complete cds	444501	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/duck/Shiga/8/2004(H4N6))	Influenza A virus (A/duck/Shiga/8/2004(H4N6))
AB304148.1	1565	Influenza A virus (A/duck/Shiga/8/2004(H4N6)) NP gene for nucleoprotein, complete cds	444501	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/duck/Shiga/8/2004(H4N6))	Influenza A virus (A/duck/Shiga/8/2004(H4N6))
AB308374.1	6673	Mamastrovirus 1 genomic RNA, complete genome, isolate: V1347	1239565	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus 1	unclassified Mamastrovirus 1 subspecies/strain	unclassified Mamastrovirus 1 strain
AB331650.1	7303	Bovine papillomavirus-9 DNA, complete genome	453460	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Xipapillomavirus	Xipapillomavirus 1	Bos taurus papillomavirus 9	Bos taurus papillomavirus 9
AB331651.1	7399	Bovine papillomavirus-10 DNA, complete genome	453461	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Xipapillomavirus	Xipapillomavirus 1	Bos taurus papillomavirus 10	Bos taurus papillomavirus 10
AB362840.1	7246	Orthohepevirus A genomic RNA, complete genome, isolate: 114d/A549	1678143	Viruses	Kitrinoviricota	Alsuviricetes	Hepelivirales	Hepeviridae	Paslahepevirus	Paslahepevirus balayani	unclassified Paslahepevirus balayani subspecies/strain	unclassified Paslahepevirus balayani strain
AB365435.1	7627	Norovirus Hu/Texas/TCH04-577/2004/US genomic RNA, complete genome	479952	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus Hu/Texas/TCH04-577/2004/US	Norovirus Hu/Texas/TCH04-577/2004/US
AB426608.1	7422	Enterovirus B98 genomic RNA, complete genome, strain: T92-1499	582384	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus B	Enterovirus B98	Enterovirus B98
AB426609.1	7423	Enterovirus B107 genomic RNA, complete genome, strain: TN94-0349	2487725	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus B	Enterovirus B107	Enterovirus B107
AB433629.1	7349	Human parechovirus 4 genomic RNA, complete genome, strain: Fuk2005-123	362784	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Parechovirus	Parechovirus A	Human parechovirus 4	Human parechovirus 4
AB434294.1	2277	Influenza A virus (A/swine/Ratchaburi/NIAH550/2003(H1N1)) PB1 gene for polymerase PB1, complete cds	519832	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/swine/Ratchaburi/NIAH550/2003(H1N1))	Influenza A virus (A/swine/Ratchaburi/NIAH550/2003(H1N1))
